ID_REF,GSM3446059,GSM3446060,GSM3446061,GSM3446062,GSM3446063,GSM3446064,GSM3446065,GSM3446066,GSM3446067,GSM3446068,GSM3446069,GSM3446070
A_19_P00317337,0.059067137,0.895580599,0.210053874,0.056597769,0.32775173,1.816826772,0.075418768,0.10597988,0.232647615,0.132936419,0.178077951,0.377288047
A_19_P00317360,3.652791734,7.121704128,7.340116697,5.453293483,6.418998839,6.635207578,8.325390829,7.539608958,10.78888074,4.839304769,8.102728496,11.32292982
A_19_P00317412,2.025682124,2.543507591,1.764238982,2.023695321,2.235108862,4.083097449,2.124255794,1.921779614,2.156533459,2.368843847,1.654925876,2.222843225
A_19_P00317444,0.379876007,2.707737717,0.608263462,0.609184525,1.302402198,2.849232595,0.57204631,0.499337098,0.950562986,0.574138617,0.584021708,0.586947243
A_19_P00317449,2.144877718,4.385545182,2.308623161,2.338350185,2.927367556,0.729155974,2.161398667,2.55344432,3.226149065,1.608457705,2.920881643,3.219146871
A_19_P00317451,0.068776938,0.277158354,0.085415328,0.066556395,0.207270255,0.483342614,0.054772631,0.049124775,0.075305341,0.044603137,0.051451894,0.073008563
A_19_P00317504,0.062261149,0.25917409,0.077042552,0.061307951,0.186143727,0.436877678,0.046284694,0.041156098,0.057571915,0.03702728,0.04274058,0.060417236
A_19_P00317507,0.06999029,0.287866557,0.112841308,0.069136348,0.207536932,0.499373199,0.053283376,0.047963708,0.067528415,0.042843786,0.048940023,0.070289183
A_19_P00317519,1.26312967,0.290593271,1.326070006,1.345833278,1.266729358,0.479323075,2.180325756,1.024250296,1.308248115,2.308714696,2.544149942,1.087906353
A_19_P00317532,0.068192562,0.282589565,0.083921275,0.066631861,0.202273384,0.484033565,0.050713582,0.045114519,0.06318185,0.040351852,0.046227046,0.065303042
A_19_P00317563,0.068219051,0.274283359,0.082878115,0.065278124,0.204989085,0.475320029,0.067101355,0.078088981,0.063500951,0.041605065,0.047240924,0.066695813
A_19_P00317597,0.396911729,1.259964705,0.561946138,0.44090569,0.770523146,2.698903699,0.33567158,0.368553892,0.506730457,0.416865996,0.293874299,0.489897386
A_19_P00317612,0.068994827,0.315548747,0.095348404,0.06639823,0.206651294,0.479568166,0.057102907,0.050404715,0.109573513,0.071489541,0.193879114,0.073266728
A_19_P00317616,0.067728493,0.298352568,0.083262599,0.066290948,0.199860642,0.469847768,0.049046296,0.043593822,0.060853135,0.039204025,0.044973828,0.063552487
A_19_P00317628,0.065714388,0.578509277,0.395554119,0.232103535,0.196076019,2.256111548,0.068705495,0.113333871,0.291875132,0.044728193,0.069580729,0.156881811
A_19_P00317631,0.070346985,0.287025337,0.234358739,0.069542922,0.394248317,0.596157957,0.05160582,0.046674747,0.065334223,0.042111982,0.125079512,0.141808331
A_19_P00317647,0.868259605,5.651134004,0.818425879,0.818645297,2.703724212,11.37984498,0.367290784,0.585720527,1.30617337,0.572189846,0.877265367,1.245550832
A_19_P00317653,3.99554693,21.27073528,4.145001144,4.683822487,11.39031389,29.12269575,4.451475143,3.125376727,6.2851305,2.475734488,3.603797132,5.294985744
A_19_P00317671,0.063464169,0.263306109,0.07822292,0.062084546,0.188508123,0.450464556,0.047176297,0.041940824,0.058709265,0.037599844,0.043204219,0.060907175
A_19_P00317748,0.064023866,0.257577271,0.134085785,0.061565802,0.191778248,0.976485378,0.069985022,0.12455731,0.061666749,0.079217715,0.090986449,0.064828397
A_19_P00317753,0.123460907,0.901268723,0.398560102,0.204418051,0.652746264,1.169256282,0.158884809,0.19890691,0.386933166,0.093230854,0.149227569,0.349216928
A_19_P00317759,0.060237387,0.245648205,0.073954308,0.057266359,0.179595761,0.424282094,0.062370948,0.041129043,0.057799066,0.037461916,0.043177715,0.060578329
A_19_P00317789,7.049244278,3.614391041,6.478618923,7.905528978,5.342444443,1.951129384,7.186941784,8.991268703,7.290225801,7.738267493,7.754804978,7.146150511
A_19_P00317818,0.07962568,0.595712031,0.289329614,0.093525462,0.354563172,0.588736672,0.192925346,0.123747596,0.241950982,0.047326909,0.12713792,0.052137901
A_19_P00317822,0.057850434,0.231994708,0.070065352,0.055064946,0.171640391,0.402537083,0.043952072,0.038989979,0.054377201,0.035586281,0.040600604,0.056973822
A_19_P00317824,3.622995465,4.225423075,3.735084029,4.19951814,3.581131511,2.702769538,3.665887976,4.805601436,4.129845183,3.330471416,3.968785248,3.924903545
A_19_P00317836,0.228892707,0.942828604,0.388053615,0.202612291,0.207330404,1.178985104,0.124154719,0.205148328,0.145893044,0.134445801,0.294728831,0.144509997
